Name,Fighter ID,Record,Height (feet/inches),Weight (pounds),Reach (inches),Stance,Year born,Significant strikes landed per minute,Significant striking accuracy (%),Significant strikes absorbed per minute,Significant strike defense (% of opponent's strikes that did not land),Average takedowns landed per 15 minutes,Takedown accuracy (%),Takedown defense (%),Average submissions attempted per 15 minutes
Karo Parisyan,349aaa3da11eb587,Record: 19-8-0 (1 NC),5.1,170,72,Orthodox,1982,2.49,41,2.19,58,5.27,59,59,1.0
Remco Pardoel,749685d24e2cac50,Record: 9-6-1 (2 NC),6.3,260,,Southpaw,,0.0,0,0.0,0,0.0,0,0,0.0
Bryan Pardoe,56116537d71a578c,Record: 12-16-0,6.1,205,,Orthodox,,1.11,36,4.59,45,4.75,40,33,0.0
Joe Pardo,74fefd43f073cd2f,Record: 4-6-0,6.1,210,,Southpaw,,0.0,0,0.0,0,0.0,0,0,0.0
Alexandre Pantoja,a0f0004aadf10b71,Record: 18-3-0,5.5,125,67,Orthodox,1990,4.12,46,3.53,57,1.06,60,57,1.8
Jared Papazian,edad57b3dddf2168,Record: 14-9-0 (1 NC),5.8,135,67,Southpaw,1988,3.33,39,3.81,44,0.0,0,50,0.0
Eduardo Pamplona,f31c0905045fa100,Record: 15-3-0,5.11,170,,,1973,0.0,0,0.0,0,0.0,0,0,0.0
Stephen Palling,ab7c212de9f66af0,Record: 11-7-1,5.4,143,,,1967,0.0,0,0.0,0,0.0,0,0,0.0
Tulio Palhares,e8c170a64dc920ac,Record: 2-14-0,,180,,,,0.0,0,0.0,0,0.0,0,0,0.0
Bart Palaszewski,4304992c2acc187b,Record: 35-17-0,5.9,145,70,Orthodox,1983,2.67,32,3.97,57,0.65,31,53,0.5
Jose Palacios,de20ffb3fc2e7629,Record: 3-2-0,5.9,145,,Orthodox,,2.67,70,1.0,79,0.0,0,50,1.7
Dustin Pague,55f80a8aeffcdb33,Record: 11-10-0,5.9,135,74,Orthodox,1987,1.65,53,2.96,41,1.03,44,55,2.6
Gary Padilla,01dd4cdc2446f665,Record: 12-6-0,5.11,205,,,1980,2.2,27,2.0,76,0.0,0,50,0.0
Damacio Page,c96e2ae6021144a1,Record: 12-8-0,5.6,135,66,Orthodox,1982,2.05,38,2.47,51,2.63,64,23,0.9
George Pacurariu,c51da79b0346b5b7,Record: 10-5-0,5.7,135,,,1984,4.69,53,2.68,63,5.03,100,100,5.0
Cyrillo Padilha,856c4d2668a875f9,Record: 3-3-0,5.11,155,,,1978,0.0,0,0.0,0,0.0,0,0,0.0
Larissa Pacheco,16b89be2f5c16fba,Record: 10-2-0,5.7,135,69,Orthodox,1994,1.21,19,4.14,55,0.0,0,0,0.0
Teemu Packalen,8f4eeaf7a0df7c1a,Record: 8-2-0,6.1,155,72,Orthodox,1987,2.64,57,3.08,47,2.83,27,100,1.9
Nick Pace,8cb76103cd8a1562,Record: 6-3-0,5.7,135,68,Orthodox,1987,1.48,34,3.14,57,2.52,43,54,0.5
Raquel Pa'aluhi,373be586f370d400,Record: 3-4-0,5.7,135,,,,1.71,56,3.42,46,0.0,0,18,0.0
Shungo Oyama,47b7e4e60813b7b2,Record: 10-13-0,5.11,185,,Southpaw,1974,0.64,25,1.96,57,1.07,57,62,0.5
Craig Oxley,4bb9d7a32d02a03e,Record: 0-3-0,5.9,155,,,1973,0.0,0,0.0,0,0.0,0,0,0.0
Valentijn Overeem,20e403a1acfef130,Record: 29-26-0,6.3,230,,Orthodox,1976,0.93,34,1.49,58,1.86,50,0,4.7
Sidney Outlaw,871ce0b4a01922b6,Record: 8-4-0,5.8,170,74,Orthodox,1992,0.13,33,0.8,71,3.0,75,0,3.0
Alistair Overeem,b4ad3a06ee4d660c,Record: 43-16-0 (1 NC),6.4,265,80,Orthodox,1980,3.67,61,1.88,62,1.46,62,76,1.0
Artur Oumakhanov,1ef0eae31904e534,Record: 9-6-0,5.7,154,,Orthodox,1979,1.2,33,1.67,82,3.0,75,33,0.0
Zak Ottow,47cd337b86b1af92,Record: 16-5-0,5.11,170,72,Orthodox,1986,3.42,39,2.71,58,0.59,33,66,0.3
Takafumi Otsuka,6b8f28da9a483049,Record: 12-9-1,5.6,139,,Orthodox,,1.29,27,2.12,67,1.64,27,65,0.0
Alexander Otsuka,865aa315ea62c511,Record: 4-13-0,6.1,205,,Orthodox,1971,0.9,55,1.16,51,1.51,43,53,0.8
Pedro Otavio,4512e46543b960ad,Record: 19-8-0,6.3,245,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Rachael Ostovich,01784fbc27c68b14,Record: 4-3-0,5.3,125,62,,1991,1.8,23,1.2,80,9.0,100,100,9.0
Nissen Osterneck,d632d156c0549e07,Record: 9-3-0,6.2,185,,Orthodox,1981,3.15,58,2.9,41,0.63,12,42,1.3
Nick Osipczak,5b407acfe0ef9b76,Record: 5-3-0,6.2,170,76,Orthodox,1984,2.83,50,3.77,50,1.2,45,71,1.0
Kurt Osiander,f84dfc5a8d178403,Record: 4-1-0,,185,,,,0.0,0,0.0,0,0.0,0,0,0.0
Dustin Ortiz,f53c1f4ceeed8c08,Record: 18-7-0,5.5,125,65,Orthodox,1988,2.93,44,2.25,56,3.08,35,54,0.1
Kenji Osawa,8eb239a52fc4ec14,Record: 18-10-2,5.7,135,66,Orthodox,1976,2.34,35,2.14,63,0.91,58,68,0.7
Jorge Ortiz,9c5828c6fd9dc948,Record: 16-9-1 (1 NC),6.0,185,,Orthodox,,3.53,58,2.8,73,0.0,0,0,0.0
Brian Ortega,def8166ff24bd237,Record: 14-0-0 (1 NC),5.8,145,69,Switch,1991,3.65,32,5.27,56,0.22,14,58,1.8
Sam Oropeza,6b8db407d49c6e4b,Record: 5-2-0,6.2,170,,,,7.68,56,1.44,70,3.6,33,100,0.0
Charlie Ontiveros,318572f6f74b760d,Record: 8-5-0,6.2,170,,,1991,0.0,0,4.2,26,0.0,0,0,0.0
Daniel Omielanczuk,470fedbc8563ac47,Record: 19-8-1 (1 NC),6.0,247,74,Southpaw,1982,3.09,57,3.29,47,0.56,26,68,0.1
Tito Ortiz,2f732dd9210d301f,Record: 17-11-1,6.3,205,74,Orthodox,1975,2.59,46,2.88,60,2.47,35,54,0.6
Michihiro Omigawa,9f842be1a5337be6,Record: 13-13-1,5.6,145,68,Orthodox,1975,2.01,39,3.06,64,1.19,36,49,1.5
Dennis Olson,8e0709784259402d,Record: 14-11-0,6.0,170,,,,1.02,42,5.27,38,2.77,40,0,0.0
Alan Omer,f2ad06f1007c481a,Record: 18-5-0,5.1,145,71,Orthodox,1988,3.49,55,2.21,64,1.69,42,66,0.0
Shana Olsen,dfbb95ca0c143988,Record: 4-2-0,5.7,145,,,1980,0.0,0,0.0,0,0.0,0,0,0.0
Cameron Olson,5a9104718439ef44,Record: 7-3-0 (1 NC),6.1,205,75,Orthodox,1989,3.13,47,2.2,57,3.0,42,100,1.0
Casey Olson,7613773461b276f4,Record: 12-3-0,5.7,145,,Orthodox,,0.0,0,0.0,100,0.0,0,100,15.2
Andy Ologun,e96d8538d3f9d0ed,Record: 3-1-0,6.0,154,,Orthodox,1983,2.36,57,0.32,85,0.68,100,80,0.0
